Date, NumberOfTweets
2016-06-21, 20940
2016-06-22, 26329
2016-06-23, 21687
2016-06-24, 20705
2016-06-25, 15914
2016-06-26, 11516
2016-06-27, 17979
2016-06-28, 19193
2016-06-29, 11275
2016-06-30, 24098
2016-07-01, 3320
2016-07-02, 0
2016-07-03, 0
2016-07-04, 13538
2016-07-05, 16555
2016-07-06, 24759
2016-07-07, 13639
2016-07-08, 18602
2016-07-09, 26189
2016-07-10, 21776
2016-07-11, 20103
2016-07-12, 23190
2016-07-13, 20672
2016-07-14, 20492
2016-07-15, 27639
2016-07-16, 20188
2016-07-17, 20705
2016-07-18, 19563
2016-07-19, 17251
2016-07-20, 23672
2016-07-21, 21800
2016-07-22, 21734
2016-07-23, 19176
2016-07-24, 19471
2016-07-25, 23413
2016-07-26, 17882
