Date,year,month,week,X24hAverage,Ask,Bid,Last,TotalVolume,numberOfTransactions,nTweets,nNewsReuters,nNewsCryptocoin,searchInterest,nTweetsTopUser
2016-07-27,2016,7,30,657.03,658.33,657.81,658.2,42261.27,235603,16337,1,1,21,599
2016-07-26,2016,7,30,655.86,657.26,656.56,657.15,46804.25,237673,17882,1,0,21,822
2016-07-25,2016,7,30,658.42,657.75,657.48,657.63,34190.29,240533,23413,1,0,21,1049
2016-07-24,2016,7,30,660.31,662.62,661.98,662.19,35674.12,186521,19471,0,0,21,1138
2016-07-23,2016,7,30,655.82,657.56,656.74,657.32,35918.05,195796,19176,0,0,21,1018
2016-07-22,2016,7,30,664.69,649.54,648.96,649.1,53703.06,221404,21734,0,0,21,1082
2016-07-21,2016,7,30,667.24,668.17,667.77,668.11,29696.95,217606,21800,4,2,21,1089
2016-07-20,2016,7,29,673.41,668.75,667.93,668.12,33304.48,227429,23672,0,0,20,1099
2016-07-19,2016,7,29,673.97,677,676.48,676.6,27709.05,222146,17251,0,1,20,701
2016-07-18,2016,7,29,678.41,675.65,675.19,675.5,45421.26,225827,19563,0,2,20,905
2016-07-17,2016,7,29,673.45,678.97,678.23,678.62,38812.15,171013,20705,0,0,20,1675
2016-07-16,2016,7,29,668.21,666.55,666.03,666.13,20248.28,182192,20188,0,2,20,2272
2016-07-15,2016,7,29,666.03,666.55,666.22,666.69,40201.17,216081,27639,1,0,20,1276
2016-07-14,2016,7,29,659.9,661.32,660.95,661.06,52270.97,220655,20492,0,3,20,848
2016-07-13,2016,7,28,664.89,663.09,662.56,662.96,83824.76,218093,20672,2,0,22,920
2016-07-12,2016,7,28,659.41,675.45,674.95,675.08,70689.58,219034,23190,8,2,22,1069
2016-07-11,2016,7,28,651.39,649.93,649.22,649.22,40483.1,218089,20103,0,1,22,931
2016-07-10,2016,7,28,648.28,650.2,649.73,650.05,44244.01,162608,21776,0,0,22,1299
2016-07-09,2016,7,28,652.6,652.48,651.75,652.17,121048.88,185405,26189,1,0,22,1342
2016-07-08,2016,7,28,646.56,660.85,660.29,660.47,71907.85,210701,18602,1,1,22,784
2016-07-07,2016,7,28,645.91,635.04,634.63,635.12,146905.35,216812,13639,4,2,22,672
2016-07-06,2016,7,27,675.02,677.42,677.04,677.28,41015.85,214691,24759,3,0,24,1124
2016-07-05,2016,7,27,673.44,668.15,667.19,667.74,46743,214959,16555,1,1,24,908
2016-07-04,2016,7,27,670.02,677,676.5,676.65,49892.44,213900,13538,0,0,24,623
2016-07-03,2016,7,27,677.67,663.79,663.27,663.16,86947.77,177127,NA,0,0,24,159
2016-07-02,2016,7,27,687.57,700.42,700.04,700.11,64791.67,198875,NA,0,0,24,1122
2016-07-01,2016,7,27,677.25,680.22,679.23,680.1,92358.46,210409,NA,0,4,24,472
2016-06-30,2016,6,27,653.61,671.27,670.51,671.03,97487.29,231960,24098,1,1,24,834
2016-06-29,2016,6,26,636.95,638.99,638.26,638.86,107527.62,224112,11275,1,0,24,859
2016-06-28,2016,6,26,650.04,648.62,648.12,648.36,86722.76,213058,19193,2,0,24,676
2016-06-27,2016,6,26,639.21,646.93,646.47,646.58,93056.97,217029,17979,1,1,24,882
2016-06-26,2016,6,26,644.1,631.87,631.16,631.14,81034.06,183755,11516,0,0,24,890
2016-06-25,2016,6,26,673.12,670.7,670.19,670.56,97772.29,210998,15914,0,0,24,872
2016-06-24,2016,6,26,653.79,660.43,659.88,660.16,181911.99,238888,20705,0,1,24,971
2016-06-23,2016,6,26,591.56,626.24,625.78,625.87,245502.42,241300,21687,1,0,24,692
2016-06-22,2016,6,25,655.75,602.44,600.92,601.09,177853.95,235641,26329,0,0,29,NA
2016-06-21,2016,6,25,685.97,656.69,655.86,656.49,218869.14,248164,20940,1,0,29,NA
2016-06-20,2016,6,25,751.32,730.95,729.91,730.44,48916.03,249334,NA,3,0,29,NA
2016-06-19,2016,6,25,756.54,763.98,763.23,763.58,53824.24,218298,NA,0,0,29,NA
2016-06-18,2016,6,25,751.6,755.44,754.88,754.96,114364.64,218298,NA,0,0,29,NA
2016-06-17,2016,6,25,749.73,742.19,741.68,741.81,173949.07,253184,NA,4,0,29,NA
2016-06-16,2016,6,25,737.31,772.02,771.62,771.91,218671.63,281849,NA,3,2,29,NA
2016-06-15,2016,6,24,685.07,693.9,693.33,693.62,70185.7,245868,NA,2,0,30,NA
2016-06-14,2016,6,24,688.51,684.9,684.52,684.81,124580.91,243443,NA,3,2,30,NA
2016-06-13,2016,6,24,687.35,699.87,699.52,699.76,217843.9,247441,NA,3,1,30,NA
2016-06-12,2016,6,24,637.74,680.66,679.44,680.11,211822.09,201879,NA,0,0,30,NA
2016-06-11,2016,6,24,585.93,592.25,591.58,592.16,33030.92,217676,NA,0,0,30,NA
2016-06-10,2016,6,24,579.18,579.85,579.57,579.86,41929.11,233275,NA,2,1,30,NA
2016-06-09,2016,6,24,580.2,578.17,578.01,578.08,48742.59,230161,NA,1,2,30,NA
2016-06-08,2016,6,23,578.68,584.72,584.36,584.62,48904.73,236795,NA,1,0,22,NA
2016-06-07,2016,6,23,584.2,576.67,576.38,576.53,80994.41,231461,NA,0,1,22,NA
2016-06-06,2016,6,23,582.55,585.62,585.22,585.4,59238.77,213352,NA,2,0,22,NA
2016-06-05,2016,6,23,576.8,576.97,576.57,576.68,53182.47,185229,NA,0,0,22,NA
2016-06-04,2016,6,23,574.56,572.39,572.15,572.3,78613.53,204060,NA,1,0,22,NA
2016-06-03,2016,6,23,557.3,569.12,568.53,568.9,107828.49,240001,NA,3,0,22,NA
2016-06-02,2016,6,23,538.52,542.21,541.91,542.06,49993.74,238509,NA,4,1,22,NA
2016-06-01,2016,6,22,534.37,539.11,538.92,538.95,64036.8,219918,NA,2,0,24,NA
2016-05-31,2016,5,22,536.84,533.47,533.11,533.29,109963.11,219373,NA,1,0,24,NA
2016-05-30,2016,5,22,534.27,534.67,534.39,534.68,77092.08,200119,NA,0,0,24,NA
2016-05-29,2016,5,22,525.42,521.3,518.9,519.13,137960.84,180649,NA,2,2,24,NA
